subjectID,time_start_time_trial,time_end_time_trial,totalSequence,opposite_ans,rotation,correct_ans,thirds,time_diff_time_trial,log_error,inner_radius,judged_true,ans_percentage_diff,ans_trial,age,browser,browserVersion,comments,degree,monitor,participantCount,postId,screenHeight,screenWidth,sex,windowHeight,windowWidth
2,1441777058031,1441777066080,19,57,98.20321885,43,medium,8049,1.087462841,0,2,0.04651162791,45,25-29,Chrome,45,no comments,Masters,15,45,ieccbcro,738,1366,Male,653,1366
2,1441777647522,1441777661840,54,8,240.4974793,92,large,14318,-0.6780719051,120,0.5,0.005434782609,92.5,25-29,Chrome,45,no comments,Masters,15,45,ieccbcro,738,1366,Male,653,1366
2,1441777678839,1441777699206,57,64,86.64315633,36,medium,20367,2.044394119,60,4,0.1111111111,40,25-29,Chrome,45,no comments,Masters,15,45,ieccbcro,738,1366,Male,653,1366
2,1441777671858,1441777678839,56,97,353.116036,3,small,6981,1.087462841,30,2,0.6666666667,5,25-29,Chrome,45,no comments,Masters,15,45,ieccbcro,738,1366,Male,653,1366
2,1441777611586,1441777620840,51,22,268.6356678,78,large,9254,1.087462841,0,2,0.02564102564,80,25-29,Chrome,45,no comments,Masters,15,45,ieccbcro,738,1366,Male,653,1366
2,1441777605673,1441777611586,50,27,249.0047768,73,large,5913,1.087462841,60,2,0.02739726027,75,25-29,Chrome,45,no comments,Masters,15,45,ieccbcro,738,1366,Male,653,1366
2,1441777641476,1441777647522,53,94,7.900074078,6,small,6046,2.044394119,60,4,0.6666666667,10,25-29,Chrome,45,no comments,Masters,15,45,ieccbcro,738,1366,Male,653,1366
2,1441777620856,1441777641476,52,95,67.10702277,5,small,20620,-3,60,0,0,5,25-29,Chrome,45,no comments,Masters,15,45,ieccbcro,738,1366,Male,653,1366
2,1441777661855,1441777671858,55,69,308.943067,31,small,10003,0.1699250014,60,-1,-0.03225806452,30,25-29,Chrome,45,no comments,Masters,15,45,ieccbcro,738,1366,Male,653,1366
2,1441777414247,1441777424832,37,43,160.4791451,57,medium,10585,1.087462841,30,-2,-0.0350877193,55,25-29,Chrome,45,no comments,Masters,15,45,ieccbcro,738,1366,Male,653,1366
2,1441777033897,1441777058031,18,8,34.98912801,92,large,24134,1.087462841,60,-2,-0.02173913043,90,25-29,Chrome,45,no comments,Masters,15,45,ieccbcro,738,1366,Male,653,1366
2,1441777321338,1441777341927,33,44,245.5953391,56,medium,20589,2.044394119,30,4,0.07142857143,60,25-29,Chrome,45,no comments,Masters,15,45,ieccbcro,738,1366,Male,653,1366
3,1441893749148,1441893751404,30,39,268.9303393,61,medium,2256,3.189824559,150,9,0.1475409836,70,30-39,Chrome,45,none pretty neat survey! Thank you!,High School,13,127,ieea9ump,860,1600,Female,799,1600
3,1441893771012,1441893773027,42,62,225.1200496,38,medium,2015,1.64385619,0,-3,-0.07894736842,35,30-39,Chrome,45,none pretty neat survey! Thank you!,High School,13,127,ieea9ump,860,1600,Female,799,1600
3,1441893735249,1441893736656,22,59,292.7384144,41,medium,1407,2.044394119,0,4,0.09756097561,45,30-39,Chrome,45,none pretty neat survey! Thank you!,High School,13,127,ieea9ump,860,1600,Female,799,1600
3,1441893759012,1441893760915,36,18,122.681662,82,large,1903,4.098032083,60,-17,-0.2073170732,65,30-39,Chrome,45,none pretty neat survey! Thank you!,High School,13,127,ieea9ump,860,1600,Female,799,1600
3,1441893757324,1441893759011,35,68,94.9273737,32,small,1687,3.599912842,90,-12,-0.375,20,30-39,Chrome,45,none pretty neat survey! Thank you!,High School,13,127,ieea9ump,860,1600,Female,799,1600
3,1441893752748,1441893754155,32,24,93.03068186,76,large,1407,2.044394119,150,4,0.05263157895,80,30-39,Chrome,45,none pretty neat survey! Thank you!,High School,13,127,ieea9ump,860,1600,Female,799,1600
3,1441893738169,1441893740096,24,8,359.2050939,92,large,1927,2.832890014,120,-7,-0.07608695652,85,30-39,Chrome,45,none pretty neat survey! Thank you!,High School,13,127,ieea9ump,860,1600,Female,799,1600
3,1441893740097,1441893742328,25,43,79.9829969,57,medium,2231,1.087462841,0,-2,-0.0350877193,55,30-39,Chrome,45,none pretty neat survey! Thank you!,High School,13,127,ieea9ump,860,1600,Female,799,1600
3,1441893742329,1441893744051,26,30,346.6769585,70,large,1722,3.339850003,120,10,0.1428571429,80,30-39,Chrome,45,none pretty neat survey! Thank you!,High School,13,127,ieea9ump,860,1600,Female,799,1600
3,1441893744052,1441893745443,27,20,226.7194323,80,large,1391,3.339850003,150,10,0.125,90,30-39,Chrome,45,none pretty neat survey! Thank you!,High School,13,127,ieea9ump,860,1600,Female,799,1600
3,1441893731169,1441893733393,20,64,169.0705499,36,medium,2224,2.044394119,90,4,0.1111111111,40,30-39,Chrome,45,none pretty neat survey! Thank you!,High School,13,127,ieea9ump,860,1600,Female,799,1600
