subjectID,time_start_time_trial,time_end_time_trial,workerID,totalSequence,opposite_ans,rotation,correct_ans,thirds,time_diff_time_trial,chart_type,log_error,log_opposite,judged_true,ans_percentage_diff,ans_trial,thirds_given,ans_trial_opposite,Given_Pie_Chart_1,Correct_Pie_Chart_1,Given_Pie_Chart_2,Correct_Pie_Chart_2,Pie_Chart_Multiple_Choice_1,Multiple_Choice_Pie_Order_1,Given_Donut_Chart_1,Correct_Donut_Chart_1,Given_Donut_Chart_2,Correct_Donut_Chart_2,Donut_Chart_Multiple_Choice_1,Given_Arc_Length_Intro_1,Correct_Arc_Length_Intro_1,Given_Arc_Length_Intro_2,Correct_Arc_Length_Intro_2,Given_Pie_Angle_Intro_1,Correct_Pie_Angle_Intro_1,Given_Pie_Angle_Intro_2,Correct_Pie_Angle_Intro_2,Given_Donut_Angle_Intro_1,Correct_Donut_Angle_Intro_1,Given_Donut_Angle_Intro_2,Correct_Donut_Angle_Intro_2,Given_Area_Intro_1,Correct_Area_Intro_1,Given_Area_Intro_2,Correct_Area_Intro_2,Given_Pie_Chart_3,Correct_Pie_Chart_3,Given_Pie_Chart_4,Correct_Pie_Chart_4,Pie_Chart_Multiplle_Choice_2,Multiple_Choice_Pie_Order_2,Given_Donut_Chart_3,Correct_Donut_Chart_3,Given_Donut_Chart_4,Correct_Donut_Chart_4,Donut_Chart_Multiple_Choice_2,age,browser,browserVersion,degree,monitor,screenWidth,screenHeight,sex,windowHeight,windowWidth
1,1440102635982,1440102640378,76F508,18,33,82.13745019,67,large,4396,Donut Angle Chart,3.714245518,5.558420713,13,0.1940298507,80,large,20,65,61,35,37,Area,2,90,91,10,9,Area,21,21,73,73,18,18,77,77,8,8,82,82,14,14,67,67,90,91,10,9,Area,1,80,61,30,37,Area,30-39,Chrome,44,Bachelors,15,1280,984,Female,923,1280
1,1440102691511,1440102697614,76F508,33,19,87.8415741,81,large,6103,Pie Angle Chart,5.810571635,2.614709844,-56,-0.6913580247,25,small,75,65,61,35,37,Area,2,90,91,10,9,Area,21,21,73,73,18,18,77,77,8,8,82,82,14,14,67,67,90,91,10,9,Area,1,80,61,30,37,Area,30-39,Chrome,44,Bachelors,15,1280,984,Female,923,1280
2,1440201164186,1440201169025,1621EF,30,53,157.5107573,47,medium,4839,Arc-Length Chart,-3,-3,0,0,47,medium,47,92,91,10,9,Area,1,60,61,35,37,Area,21,21,73,73,18,18,23,77,8,8,28,82,14,14,67,67,90,91,10,9,Area,1,60,61,35,37,Area,18-24,Chrome,44,High School,13,1440,873,Female,778,909
2,1440201269547,1440201274103,1621EF,37,35,52.87857802,65,medium,4556,Pie Chart,3.339850003,3.339850003,10,0.1538461538,75,large,75,92,91,10,9,Area,1,60,61,35,37,Area,21,21,73,73,18,18,23,77,8,8,28,82,14,14,67,67,90,91,10,9,Area,1,60,61,35,37,Area,18-24,Chrome,44,High School,13,1440,873,Female,778,909
2,1440201118743,1440201123282,1621EF,22,63,221.7369964,37,medium,4539,Area Chart,2.832890014,2.832890014,-7,-0.1891891892,30,small,30,92,91,10,9,Area,1,60,61,35,37,Area,21,21,73,73,18,18,23,77,8,8,28,82,14,14,67,67,90,91,10,9,Area,1,60,61,35,37,Area,18-24,Chrome,44,High School,13,1440,873,Female,778,909
2,1440201264270,1440201269546,1621EF,36,97,3.717127629,3,small,5276,Donut Angle Chart,6.541096615,0.1699250014,93,31,96,large,4,92,91,10,9,Area,1,60,61,35,37,Area,21,21,73,73,18,18,23,77,8,8,28,82,14,14,67,67,90,91,10,9,Area,1,60,61,35,37,Area,18-24,Chrome,44,High School,13,1440,873,Female,778,909
2,1440202418180,1440202420781,1621EF,60,22,242.676427,78,large,2601,Pie Angle Chart,5.861086906,1.087462841,-58,-0.7435897436,20,small,80,92,91,10,9,Area,1,60,61,35,37,Area,21,21,73,73,18,18,23,77,8,8,28,82,14,14,67,67,90,91,10,9,Area,1,60,61,35,37,Area,18-24,Chrome,44,High School,13,1440,873,Female,778,909
2,1440202420782,1440202424483,1621EF,61,89,7.091085892,11,small,3701,Donut Angle Chart,6.306061689,0.1699250014,79,7.181818182,90,large,10,92,91,10,9,Area,1,60,61,35,37,Area,21,21,73,73,18,18,23,77,8,8,28,82,14,14,67,67,90,91,10,9,Area,1,60,61,35,37,Area,18-24,Chrome,44,High School,13,1440,873,Female,778,909
2,1440202424484,1440202428754,1621EF,62,57,30.61957316,43,medium,4270,Pie Chart,1.64385619,1.64385619,-3,-0.06976744186,40,medium,40,92,91,10,9,Area,1,60,61,35,37,Area,21,21,73,73,18,18,23,77,8,8,28,82,14,14,67,67,90,91,10,9,Area,1,60,61,35,37,Area,18-24,Chrome,44,High School,13,1440,873,Female,778,909
2,1440202428755,1440202434369,1621EF,63,38,180.6564357,62,medium,5614,Pie Angle Chart,4.46760555,1.087462841,-22,-0.3548387097,40,medium,60,92,91,10,9,Area,1,60,61,35,37,Area,21,21,73,73,18,18,23,77,8,8,28,82,14,14,67,67,90,91,10,9,Area,1,60,61,35,37,Area,18-24,Chrome,44,High School,13,1440,873,Female,778,909
